name,slug,short_description,full_description,price,sale_price,currency,main_image,category_slug,available,published,featured,purchase_type,product_status,made_to_order,lead_time_note
Lavender Infused Soap,lavender-infused-soap,"Indulge in the soothing, aromatic experience of Maie Couture's Lavender Infused Soap, crafted to elevate your daily routine. This luxurious soap not only revitalizes your skin with","Indulge in the soothing, aromatic experience of Maie Couture's Lavender Infused Soap, crafted to elevate your daily routine. This luxurious soap not only revitalizes your skin with its gentle cleansing properties but also enriches your senses with the calming essence of lavender. Made with premium, natural ingredients and inspired by the traditional craftsmanship of nablus soap, our Lavender Infused Soap aligns perfectly with Maie Couture's commitment to quality and elegance. Suitable for all skin types, it promises a refreshing cleanse that leaves your skin feeling soft and fragrant. Elevate your self-care routine with a touch of sophistication only at Maie Couture.",15.0,,USD,https://static.wixstatic.com/media/e126e7_0b3555d6d232457c848f402baa21b3d0~mv2.png,soap,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Cedar Wood Soap,cedar-wood-soap,"Experience the natural luxury of our Cedar Wood Soap, exclusively available at Maie Couture. Crafted with premium cedar wood extracts, this soap offers a refreshing and earthy arom","Experience the natural luxury of our Cedar Wood Soap, exclusively available at Maie Couture. Crafted with premium cedar wood extracts, this soap offers a refreshing and earthy aroma that invigorates your senses. Perfect for all skin types, it promises a gentle yet effective cleanse, leaving your skin feeling soft and rejuvenated. Embrace the essence of nature while supporting Maie Couture's values of quality and sustainability. Elevate your skincare routine today.",15.0,,USD,https://static.wixstatic.com/media/e126e7_eec14089e38c4b688dd43c2afc2df76e~mv2.png,soap,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Mint Soap,mint-soap,"Discover Nablus Soap’s Mint Soap at Maie Couture. This delightful, hand-crafted soap with natural mint extracts offers a refreshing cleanse. Ideal for those who appreciate elegance","Discover Nablus Soap’s Mint Soap at Maie Couture. This delightful, hand-crafted soap with natural mint extracts offers a refreshing cleanse. Ideal for those who appreciate elegance and purity, it pairs beautifully with our high-quality clothing and showcases our artisanship. Enjoy a revitalizing bath that leaves your skin feeling refreshed. Embrace tradition and luxury with Nablus Soap’s Mint Soap.",15.0,,USD,https://static.wixstatic.com/media/e126e7_59365758559646448e59e0fbbe73d474~mv2.png,soap,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Damascus Rose Soap,damascus-rose-soap,"Experience the fragrance of Damascus Rose Soap by Maie Couture. Crafted by Nablus Soap artisans, it provides a gentle cleanse with a rose essence. Each bar embodies our commitment ","Experience the fragrance of Damascus Rose Soap by Maie Couture. Crafted by Nablus Soap artisans, it provides a gentle cleanse with a rose essence. Each bar embodies our commitment to quality and care. Enhance your skincare routine with this refined product. Discover tradition's impact with our Damascus Rose Soap.",15.0,,USD,https://static.wixstatic.com/media/e126e7_696334c246b740abac7a48dccb7b3128~mv2.png,soap,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Black Seeds Soap,black-seeds-soap,"Discover the nourishing benefits of our Black Seeds Soap, a luxurious addition to Maie Couture’s self-care range. Infused with the essence of traditional nabulsi soap, this handcra","Discover the nourishing benefits of our Black Seeds Soap, a luxurious addition to Maie Couture’s self-care range. Infused with the essence of traditional nabulsi soap, this handcrafted bar gently cleanses and revitalizes your skin, leaving it feeling refreshed and invigorated. At Maie Couture, we value quality and authenticity, ensuring each product enhances your daily routine. Elevate your skincare ritual with our Black Seeds Soap, meticulously crafted to meet Maie Couture's high standards of excellence. Treat your skin to this exquisite soap and experience the timeless allure of nabulsi soap.",15.0,,USD,https://static.wixstatic.com/media/e126e7_701d83418b874ed2b4e8af85f5e8f08e~mv2.png,soap,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Tea Tree and Charcoal Soap,tea-tree-and-charcoal-soap,"Experience the benefits of Maie Couture's Tea Tree and Charcoal Soap. Crafted in Nabulsi tradition, it combines tea tree oil and activated charcoal for a deep, refreshing cleanse. ","Experience the benefits of Maie Couture's Tea Tree and Charcoal Soap. Crafted in Nabulsi tradition, it combines tea tree oil and activated charcoal for a deep, refreshing cleanse. Ideal for those who value quality skincare, wellness, and sophistication. Elevate your routine with this luxurious, authentic soap.",15.0,,USD,https://static.wixstatic.com/media/e126e7_6bef28db4fe248a482f06c7a7e5c8855~mv2.png,soap,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Embroidered Dress with Bow Detail,embroidered-dress-with-bow-detail,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_71999f2eee8c430d93876ff9947a4214~mv2.jpg,dresses,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
High Neck Red Embroidered Dress,high-neck-red-embroidered-dress,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_fb5ca937cc194c098c2c80250ebcb3f2~mv2.jpg,dresses,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Floral Embroidered Dress in Black,floral-embroidered-dress-in-black,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_b188e6c1949443f7a9dc3058b2a027e2~mv2.jpg,dresses,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Floral Embroidered Dress,floral-embroidered-dress,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_461342fb33ad4a88bf27d018bb256e0b~mv2.jpg,dresses,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Red Embroidered Gold Colored Dress,red-embroidered-gold-colored-dress,,,1000.0,,USD,https://static.wixstatic.com/media/e126e7_dad4959e3596445498ab95665e352239~mv2.jpg,dresses,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Floral Embroidered Midi Dress,floral-embroidered-midi-dress,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_c6b09382d9224ee68a7349cf048c76c8~mv2.jpg,dresses,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Exotic Turquoise Embroidered Dress,exotic-turquoise-embroidered-dress,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_94eaaedfe35e4ac294459066d1eec0c2~mv2.jpg,dresses,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Silver Sequin Embroidered Silk Dress,silver-sequin-embroidered-silk-dress,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_cd4c83302fb84f0baaa5b4caf4013bb2~mv2.jpg,dresses,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Beige Dress with Colored Embroidery Details,beige-dress-with-colored-embroidery-details,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_cab847a05e2f4f668cf8e896a21eea28~mv2.jpg,dresses,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Purple Embroidered Long Dress,purple-embroidered-long-dress,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_ccd25bde8d7a49a8a9700cab60d6879f~mv2.jpg,dresses,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Beige Clutch,beige-clutch,"Discover timeless elegance with our Beige Clutch from Maie Couture. Expertly crafted from high-quality beige fabric and enhanced with exquisite embroidery detail, this clutch is a ","Discover timeless elegance with our Beige Clutch from Maie Couture. Expertly crafted from high-quality beige fabric and enhanced with exquisite embroidery detail, this clutch is a stunning accent to any ensemble. Perfect for both daytime events and glamorous evenings, it exudes sophistication and style. Make a statement by adding this versatile piece to your accessory collection today.",100.0,,USD,https://static.wixstatic.com/media/e126e7_4396d263c7954edbb79c741b88369fe8~mv2.jpg,bags,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Look Back Black Bag,look-back-black-bag,"Discover elegance and functionality with our Look Back Black Bag, exclusively at Maie Couture. Named for its eye-catching embroidery, this bag blends timeless style with modern fla","Discover elegance and functionality with our Look Back Black Bag, exclusively at Maie Couture. Named for its eye-catching embroidery, this bag blends timeless style with modern flair. Its spacious interior holds your essentials, while vibrant hues make it a standout accessory. Elevate your look and express your style. Shop now and experience Maie Couture's exceptional quality.",150.0,,USD,https://static.wixstatic.com/media/e126e7_3e0807258f8d43bc85e231bae7d4a291~mv2.jpg,bags,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Small Window Bag in Brown,small-window-bag-in-brown,"Discover the exquisite charm of the Small Window Bag in Brown from Maie Couture. Crafted with meticulous attention to detail, this bag features stunning embroidery that adds a touc","Discover the exquisite charm of the Small Window Bag in Brown from Maie Couture. Crafted with meticulous attention to detail, this bag features stunning embroidery that adds a touch of elegance to your ensemble. Made from genuine real leather, its durable construction ensures longevity while exuding timeless sophistication. Perfect for any occasion, the Small Window Bag seamlessly blends style and functionality for the fashion-forward individual. Elevate your accessory game with this must-have piece.",150.0,,USD,https://static.wixstatic.com/media/e126e7_f506f9c977bb4564aedfdaf88eebb3ad~mv2.jpg,bags,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Brown Leather Clutch,brown-leather-clutch,"Elevate your style with our Brown Leather Clutch, exclusively at Maie Couture. Crafted from genuine, premium leather, this clutch features a stunning mix of embroidery with vibrant","Elevate your style with our Brown Leather Clutch, exclusively at Maie Couture. Crafted from genuine, premium leather, this clutch features a stunning mix of embroidery with vibrant deep pink and green hues, adding a perfect touch to the rich brown base. Ideal for any occasion, this clutch seamlessly blends elegance and functionality. Experience the superior quality and artisanal craftsmanship that defines Maie Couture. This accessory is more than just a clutch; it's a statement piece for the discerning fashion enthusiast.",150.0,,USD,https://static.wixstatic.com/media/e126e7_7a60aadb46924d17a558d723d981e2fa~mv2.jpg,bags,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Flamboyant Embroidered Clutch,flamboyant-embroidered-clutch,"Discover the Flamboyant Embroidered Clutch from Maie Couture. This elegant piece, featuring intricate embroidery, adds sophistication to any outfit. Ideal for evening events or a s","Discover the Flamboyant Embroidered Clutch from Maie Couture. This elegant piece, featuring intricate embroidery, adds sophistication to any outfit. Ideal for evening events or a stylish day out, its vibrant design and durability reflect Maie Couture's high standards. Elevate your style with this functional and stylish clutch.",150.0,,USD,https://static.wixstatic.com/media/e126e7_19e8e8c000e94248b8ab38fcb56cf056~mv2.jpg,bags,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Beige Embroidered Clutch,beige-embroidered-clutch,"Elevate your look with Maie Couture's Beige Embroidered Clutch. This sophisticated accessory, featuring intricate embroidery, suits both casual and formal wear. Embrace timeless el","Elevate your look with Maie Couture's Beige Embroidered Clutch. This sophisticated accessory, featuring intricate embroidery, suits both casual and formal wear. Embrace timeless elegance and versatility with this luxurious, practical clutch.",150.0,,USD,https://static.wixstatic.com/media/e126e7_1beb5a43f2e549d5b85895ccc5842432~mv2.jpg,bags,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Small Window Black Leather Bag,small-window-black-leather-bag,"Elevate your style with Maie Couture's Small Window Black Leather Bag. Featuring intricate embroidery on premium leather, it combines luxury and craftsmanship for a timeless look. ","Elevate your style with Maie Couture's Small Window Black Leather Bag. Featuring intricate embroidery on premium leather, it combines luxury and craftsmanship for a timeless look. Perfectly sized for essentials, it adds elegance and functionality to any outfit, embodying quality and durability for the discerning fashionista.",150.0,,USD,https://static.wixstatic.com/media/e126e7_427901b1c809403d91ce1eddca29c38c~mv2.jpg,bags,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Black Clutch with Red Embroidery,black-clutch-with-red-embroidery,"Discover elegance with our Black Clutch with Red Embroidery. At Maie Couture, we craft each piece to perfection, combining quality with contemporary and traditional design. Perfect","Discover elegance with our Black Clutch with Red Embroidery. At Maie Couture, we craft each piece to perfection, combining quality with contemporary and traditional design. Perfect for any occasion, it effortlessly adds class. Elevate your accessory game with Maie Couture today.",150.0,,USD,https://static.wixstatic.com/media/e126e7_630a53bb37894cd788d112d990582b6b~mv2.jpg,bags,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Navy Embroidered Clutch,navy-embroidered-clutch,"Discover elegance with Maie Couture's Navy Embroidered Clutch. Expert craftsmanship and intricate embroidery elevate your evening look. Perfectly sized for essentials, it combines ","Discover elegance with Maie Couture's Navy Embroidered Clutch. Expert craftsmanship and intricate embroidery elevate your evening look. Perfectly sized for essentials, it combines functionality and style. Trust Maie Couture for timeless pieces that reflect your sophisticated taste. Make a statement with this refined accessory.",150.0,,USD,https://static.wixstatic.com/media/e126e7_fc876ab3d92948d685672a88a83eacfe~mv2.jpg,bags,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Black Leather Clutch,black-leather-clutch,"Elevate your evening with the Black Leather Clutch from Maie Couture. Crafted from premium leather and adorned with fine embroidery, this sleek accessory combines elegance and func","Elevate your evening with the Black Leather Clutch from Maie Couture. Crafted from premium leather and adorned with fine embroidery, this sleek accessory combines elegance and functionality. Perfectly sized for essentials, it complements any outfit. Trust Maie Couture's quality and style to add luxury to your wardrobe. Discover exceptional craftsmanship in this exquisite piece.",150.0,,USD,https://static.wixstatic.com/media/e126e7_4db74fba9eb74913be22eb3e176b717d~mv2.jpg,bags,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
