name,slug,short_description,full_description,price,sale_price,currency,main_image,category_slug,available,published,featured,purchase_type,product_status,made_to_order,lead_time_note
Floor-Length Open Window Vest,floor-length-open-window-vest,,,300.0,,USD,https://static.wixstatic.com/media/e126e7_952ea0c8fbc5412284ca888e22f39336~mv2.jpg,outwear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
White Blazer with Red Embroidery,white-blazer-with-red-embroidery,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_5108214fd3774c44a31f30d173985f0c~mv2.jpg,outwear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Kufiyyeh Vest,kufiyyeh-vest,,,150.0,,USD,https://static.wixstatic.com/media/e126e7_a60162311d214bd49efc2fe658ac8d13~mv2.jpg,outwear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Hand-Embroidered Blue Blazer,hand-embroidered-blue-blazer,,,500.0,,USD,https://static.wixstatic.com/media/e126e7_312282bcf10c4929887a5166566a501b~mv2.jpg,outwear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Black Blazer with Floral Embroidery Details,black-blazer-with-floral-embroidery-details,,,500.0,,USD,https://static.wixstatic.com/media/e126e7_7604895065154e0e9ac363b2b8b92b9d~mv2.jpg,outwear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
White Blazer with Floral Embroidery Details,white-blazer-with-floral-embroidery-details,,,500.0,,USD,https://static.wixstatic.com/media/e126e7_1097095a7f464cda9089d11a16481521~mv2.jpg,outwear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Embroidered Trench Coat,embroidered-trench-coat,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_3a5ec68c818d4547b22f5a028425cf9f~mv2.jpg,outwear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Floor-Length Vest,floor-length-vest,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_850f444821ec4670acbcde92ba68b469~mv2.jpg,outwear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Colorful Embroidered Cape,colorful-embroidered-cape,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_f31c3f1295264e6e925f356da2f6971b~mv2.jpg,sets,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Colorfully Embroidered Kimono in Red,colorfully-embroidered-kimono-in-red,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_415db0c4944148108d502df98f3c0251~mv2.jpg,sets,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Colorfully Embroidered Kimono,colorfully-embroidered-kimono,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_b347609418ee45fbb6051f3944fcb1b3~mv2.jpg,sets,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Lace Detailed Embroidered Set,lace-detailed-embroidered-set,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_8e43df2f55144bfa995840f79e9f6b64~mv2.jpg,sets,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Hard Silk Embroidered Set,hard-silk-embroidered-set,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_b8761db8027a4b07a50243a337f15118~mv2.jpg,sets,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Olive Green Set,olive-green-set,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_ddd9f5c5761049aa924aecaada1c847c~mv2.jpg,sets,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
maxi embroidered skirt set,maxi-embroidered-skirt-set,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_fa0160c06e0a4f19a9d5fa8dfc820bde~mv2.jpg,sets,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Red and Yellow Embroidered Black Jumpsuit,red-and-yellow-embroidered-black-jumpsuit,"Elevate your wardrobe with our stunning Red and Yellow Embroidered Black Jumpsuit from Maie Couture. This chic piece combines vibrant embroidery with a classic black backdrop, offe","Elevate your wardrobe with our stunning Red and Yellow Embroidered Black Jumpsuit from Maie Couture. This chic piece combines vibrant embroidery with a classic black backdrop, offering a perfect blend of elegance and bold style. Ideal for any occasion, the meticulous craftsmanship reflects our commitment to high-quality, timeless fashion. Discover the ultimate balance of comfort and sophistication, designed to make you stand out effortlessly. Experience the luxury of Maie Couture with every wear.",450.0,,USD,https://static.wixstatic.com/media/e126e7_c4c9cff7d0de4b9f97dc3cce3c87d797~mv2.jpg,jumpsuits,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Red Tatreez Jumpsuit,red-tatreez-jumpsuit,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_4c8f519e4c114613afb81c23c3cb93ca~mv2.jpg,jumpsuits,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Long Sleeve Jumpsuit,long-sleeve-jumpsuit,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_159855b05bd9427094fe8533e2ad9ba6~mv2.jpg,jumpsuits,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Floral Embroidered Jumpsuit,floral-embroidered-jumpsuit,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_916cb56fa96640a7b9014b36e652aba2~mv2.jpg,jumpsuits,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Red Open-Window White Jumpsuit,red-open-window-white-jumpsuit,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_c15d3556073d4ceda1711a563d5bd3df~mv2.jpg,jumpsuits,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Off the Shoulder Jumpsuit,off-the-shoulder-jumpsuit,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_0ab5fdaa687345d5b5a6a1155430f2f2~mv2.jpg,jumpsuits,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Dark Blue Embroidered Jumpsuit,dark-blue-embroidered-jumpsuit,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_b547b12429394c2e917e698b3ad2c3d6~mv2.jpg,jumpsuits,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Pomegranate Red Beige Abaya,pomegranate-red-beige-abaya,,,500.0,,USD,https://static.wixstatic.com/media/e126e7_469591bc17b747f9a2689faee50e4d98~mv2.jpg,abayas,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Olive Green Beige Abaya,olive-green-beige-abaya,,,500.0,,USD,https://static.wixstatic.com/media/e126e7_76c7093ab48743a2bc69e9ef92216b81~mv2.jpg,abayas,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Color-Rich Embroidered Black Abaya,color-rich-embroidered-black-abaya,,,500.0,,USD,https://static.wixstatic.com/media/e126e7_ee478d0721024f59855b4287dc76ae08~mv2.jpg,abayas,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Color-Rich Embroidered Black Abaya,color-rich-embroidered-black-abaya,,,500.0,,USD,https://static.wixstatic.com/media/e126e7_211b83f076b44831ab162917506c15cf~mv2.jpg,abayas,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Color-Rich Embroidered Black Abaya,color-rich-embroidered-black-abaya,,,500.0,,USD,https://static.wixstatic.com/media/e126e7_d6b922f0cbdc4560813cb5bf87ffef17~mv2.jpg,abayas,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Elegant Embroidered Black Abaya,elegant-embroidered-black-abaya,,,500.0,,USD,https://static.wixstatic.com/media/e126e7_72382958d270430c925df6a4b8487938~mv2.jpg,abayas,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Black Abaya with gold embroidery and ruby arms,black-abaya-with-gold-embroidery-and-ruby-arms,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_26201f887c2640d09d459ce97e6ce96b~mv2.jpg,abayas,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Colorful Embroidered Abaya,colorful-embroidered-abaya,,,500.0,,USD,https://static.wixstatic.com/media/e126e7_c9a1e57e23f241c398598198e8734ff7~mv2.jpg,abayas,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
White and Gold Bridal Dress with a Twist,white-and-gold-bridal-dress-with-a-twist,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_daa7aa40d348474dac728ac9a76d89f6~mv2.jpg,bridal-katb-ktab,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Gold Embroidered White Bridal Dress,gold-embroidered-white-bridal-dress,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_3ff4d09a19ec4818b87548452ae32094~mv2.jpg,bridal-katb-ktab,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Shining Bridal Dress,shining-bridal-dress,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_6d927b17a6ea4c4c80935b3303218ee4~mv2.jpg,bridal-katb-ktab,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Red Cape Detailed Dress,red-cape-detailed-dress,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_6654dfd0201b4d5880040389828bfc4e~mv2.jpg,bridal-katb-ktab,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Gold Embroidered Dress with Cape,gold-embroidered-dress-with-cape,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_12347fc72bb04df2855cc5d354413a78~mv2.jpg,bridal-katb-ktab,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Elegant Bridal Dress,elegant-bridal-dress,,,1000.0,,USD,https://static.wixstatic.com/media/e126e7_7a8546ddaf4e47c586abddb502f72bed~mv2.jpg,engagement-dresses,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Floral Engagement Attire,floral-engagement-attire,,,1250.0,,USD,https://static.wixstatic.com/media/e126e7_1236bdc0b7a946fa9c0d2d489ff2877d~mv2.jpg,engagement-dresses,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Floral Engagement Attire,floral-engagement-attire,,,1000.0,,USD,https://static.wixstatic.com/media/e126e7_b1f5bb8d61ff4690a1a0bdf5ee448411~mv2.jpg,engagement-dresses,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Something Blue Dress,something-blue-dress,,,1250.0,,USD,https://static.wixstatic.com/media/e126e7_f4269501eedc49d2a37e7218b22984df~mv2.jpg,engagement-dresses,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Red Embroidered White Dress,red-embroidered-white-dress,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_ef84880caf7e45a88b576f3463aac3bc~mv2.jpg,engagement-dresses,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Vest Dress,vest-dress,,,500.0,,USD,https://static.wixstatic.com/media/e126e7_62e15e7f479d433bae53f97a053c053b~mv2.jpg,engagement-dresses,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
One-Shoulder Midi Dress,one-shoulder-midi-dress,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_f9e9baf764a141dd9301899d25cbe1d9~mv2.jpg,engagement-dresses,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
White Floral Dress,white-floral-dress,,,850.0,,USD,https://static.wixstatic.com/media/e126e7_3ba49a1587ac45e996cbfa0be4d93a7b~mv2.jpg,engagement-dresses,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Gold Embroidered White Bridal Dress,gold-embroidered-white-bridal-dress,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_487508c62fff439fbc3e076230d7d263~mv2.jpg,bridal-katb-ktab,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
White Bridal Dress,white-bridal-dress,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_c80bc5084ac84346b72944e0c8cedb3b~mv2.jpg,bridal-katb-ktab,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
White and Red Wear,white-and-red-wear,,,700.0,,USD,https://static.wixstatic.com/media/e126e7_a4f83a3d968641dca6376be38a985290~mv2.jpg,bridal-katb-ktab,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Katb Ktab Wear,katb-ktab-wear,,,450.0,,USD,https://static.wixstatic.com/media/e126e7_7d371e4e8be44662954a5d9921efa287~mv2.jpg,bridal-katb-ktab,true,true,false,APPOINTMENT_ONLY,EVERGREEN,true,Available by appointment
Hand Embroidered Majdalawi Thobe,hand-embroidered-majdalawi-thobe,"<p>P.S: HAND EMBROIDERED THOBES CAN TAKE 3 TO 6 MONTHS IN THE MAKING, CONSULT BEFORE ORDER</p>","<p>P.S: HAND EMBROIDERED THOBES CAN TAKE 3 TO 6 MONTHS IN THE MAKING, CONSULT BEFORE ORDER</p>",2500.0,,USD,https://static.wixstatic.com/media/e126e7_5e14cb015248482e9a3f8f4d4e45aa98~mv2.jpg,traditional-wear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Black Thobe with Red and a Touch of Yellow,black-thobe-with-red-and-a-touch-of-yellow,<p>&nbsp;</p>,<p>&nbsp;</p>,1000.0,,USD,https://static.wixstatic.com/media/e126e7_379e39657aa648328f4d5e20da61ca6c~mv2.jpg,traditional-wear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Red and Beige Thobe,red-and-beige-thobe,<p>&nbsp;</p>,<p>&nbsp;</p>,1000.0,,USD,https://static.wixstatic.com/media/e126e7_afe1c7afebd84340ac49aafb8b94b7f9~mv2.jpg,traditional-wear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Malakeh Thobe in Blue and White,malakeh-thobe-in-blue-and-white,"<p>P.S: HAND EMBROIDERED THOBES CAN TAKE 3 TO 6 MONTHS IN THE MAKING, CONSULT BEFORE ORDER</p>","<p>P.S: HAND EMBROIDERED THOBES CAN TAKE 3 TO 6 MONTHS IN THE MAKING, CONSULT BEFORE ORDER</p>",2500.0,,USD,https://static.wixstatic.com/media/e126e7_14267e3e2197483a99a596d84637eea3~mv2.jpg,traditional-wear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Flamboyant Majdalawi Thobe,flamboyant-majdalawi-thobe,<p>&nbsp;</p>,<p>&nbsp;</p>,1000.0,,USD,https://static.wixstatic.com/media/e126e7_f1e42b64b4724189a100dbb6c2d90f32~mv2.jpg,traditional-wear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Modernized City Thobe,modernized-city-thobe,<p>&nbsp;</p>,<p>&nbsp;</p>,1000.0,,USD,https://static.wixstatic.com/media/e126e7_8e764625c1ba4418977bb8554093051b~mv2.jpg,traditional-wear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Floral Ember Thobe,floral-ember-thobe,<p>A modern touch on Palestinian embroidery that mixes between the feminine floral touch and the strong firey embers of the palestinian woman's personality</p>,<p>A modern touch on Palestinian embroidery that mixes between the feminine floral touch and the strong firey embers of the palestinian woman's personality</p>,1000.0,,USD,https://static.wixstatic.com/media/e126e7_66de9c4216dc4015b0168b5fe5bcc901~mv2.jpg,traditional-wear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Thobe with Hand Embroidery Detail,thobe-with-hand-embroidery-detail,<p>Happy colors for happy days!&nbsp;</p>,<p>Happy colors for happy days!&nbsp;</p>,1250.0,,USD,https://static.wixstatic.com/media/e126e7_467b17d8c5474334a8455e703dc142db~mv2.jpg,traditional-wear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Hand-Embroidered Emerald Thobe,hand-embroidered-emerald-thobe,<p>A striking piece featuring traditional tatreez in vibrant shades of burgundy and flame red hand-stitched on the emerald green fabric.&nbsp;</p><p>P.S: HAND EMBROIDERED THOBES CA,"<p>A striking piece featuring traditional tatreez in vibrant shades of burgundy and flame red hand-stitched on the emerald green fabric.&nbsp;</p><p>P.S: HAND EMBROIDERED THOBES CAN TAKE 3 TO 6 MONTHS IN THE MAKING, CONSULT BEFORE ORDER</p>",2000.0,,USD,https://static.wixstatic.com/media/e126e7_3c008cf5f5354531b5577b9a0721752c~mv2.jpg,traditional-wear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Majdalawi Thobe in Green,majdalawi-thobe-in-green,,,1250.0,,USD,https://static.wixstatic.com/media/e126e7_6e95c2ae593248509367dedbcceaa895~mv2.jpg,traditional-wear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
Majdalawi Thobe with Red Tatreez,majdalawi-thobe-with-red-tatreez,,,1250.0,,USD,https://static.wixstatic.com/media/e126e7_678eeb848b8347518f68078efb90ce6b~mv2.jpg,traditional-wear,true,true,false,DIRECT_PURCHASE,EVERGREEN,false,Ships in 3-5 business days
